run,condition,seed,total_decisions,heavy_calls,skipped_calls,skip_rate_pct,cross_reuse_rate_pct,cross_reuse_count,skip_with_packet_count,sim_mean,sim_std,heavy_latency_ms_mean,heavy_latency_ms_std
strict_calib_seed7,strict_calib,7,240,2,238,99.16666666666667,57.14285714285714,136,238,0.9898624971133321,0.013173872768613518,265.8346000025631,111.99864305963479
strict_calib_seed17,strict_calib,17,240,1,239,99.58333333333333,66.94560669456067,160,239,0.9888576319028144,0.015180119226805731,301.27539999375585,
strict_calib_seed27,strict_calib,27,240,2,238,99.16666666666667,97.05882352941177,231,238,0.987824856233196,0.017799960410201886,633.4367999952519,586.5849558064112
strict_no_calib_seed7,strict_no_calib,7,240,3,237,98.75,0.0,0,237,0.985915882929468,0.014991406366072706,493.66689999684854,485.5562706422544
strict_no_calib_seed17,strict_no_calib,17,240,3,237,98.75,0.0,0,237,0.9862432691115367,0.014243563760745169,494.098366665033,463.3013733516706
strict_no_calib_seed27,strict_no_calib,27,240,3,237,98.75,0.0,0,237,0.9860905061794233,0.014672195458376877,471.0032000002684,463.33609549588107
