agent_id,frame,decision,sim,stored_label,used_packet_agent,used_packet_ts
agent_1,1,heavy,,,,
agent_1,2,skipped,0.99809730052948,Person,agent_1,1770270441.286683
agent_1,3,skipped,0.9975648522377014,Person,agent_1,1770270441.286683
agent_1,4,skipped,0.998436450958252,Person,agent_1,1770270441.286683
agent_1,5,skipped,0.9984087944030762,Person,agent_1,1770270441.286683
agent_1,6,skipped,0.9990004897117615,Person,agent_1,1770270441.286683
agent_1,7,skipped,0.996135950088501,Person,agent_1,1770270441.286683
agent_1,8,skipped,0.9984293580055237,Person,agent_1,1770270441.286683
agent_1,9,skipped,0.9973856210708618,Person,agent_1,1770270441.286683
agent_1,10,skipped,0.9938652515411377,Person,agent_1,1770270441.286683
agent_1,11,skipped,0.9938317537307739,Person,agent_1,1770270441.286683
agent_1,12,skipped,0.9949215650558472,Person,agent_1,1770270441.286683
agent_1,13,skipped,0.9945557713508606,Person,agent_1,1770270441.286683
agent_1,14,skipped,0.9932425022125244,Person,agent_1,1770270441.286683
agent_1,15,skipped,0.9942659139633179,Person,agent_1,1770270441.286683
agent_1,16,skipped,0.9934097528457642,Person,agent_1,1770270441.286683
agent_1,17,skipped,0.9935232400894165,Person,agent_1,1770270441.286683
agent_1,18,skipped,0.9977032542228699,Person,agent_1,1770270441.286683
agent_1,19,skipped,0.9980385303497314,Person,agent_1,1770270441.286683
agent_1,20,skipped,0.996971607208252,Person,agent_1,1770270441.286683
