agent_id,frame,decision,sim,stored_label,used_packet_agent,used_packet_ts
agent_1,1,heavy,,,,
agent_1,2,skipped,0.99809730052948,Person,agent_1,1770270441.286683
agent_1,3,skipped,0.9975648522377014,Person,agent_1,1770270441.286683
agent_1,4,skipped,0.998436450958252,Person,agent_1,1770270441.286683
agent_1,5,skipped,0.9984087944030762,Person,agent_1,1770270441.286683
agent_1,6,skipped,0.9990004897117616,Person,agent_1,1770270441.286683
agent_1,7,skipped,0.996135950088501,Person,agent_1,1770270441.286683
agent_1,8,skipped,0.9984293580055236,Person,agent_1,1770270441.286683
agent_1,9,skipped,0.9973856210708618,Person,agent_1,1770270441.286683
agent_1,10,skipped,0.9938652515411376,Person,agent_1,1770270441.286683
agent_1,11,skipped,0.993831753730774,Person,agent_1,1770270441.286683
agent_1,12,skipped,0.9949215650558472,Person,agent_1,1770270441.286683
agent_1,13,skipped,0.9945557713508606,Person,agent_1,1770270441.286683
agent_1,14,skipped,0.9932425022125244,Person,agent_1,1770270441.286683
agent_1,15,skipped,0.994265913963318,Person,agent_1,1770270441.286683
agent_1,16,skipped,0.9934097528457642,Person,agent_1,1770270441.286683
agent_1,17,skipped,0.9935232400894164,Person,agent_1,1770270441.286683
agent_1,18,skipped,0.99770325422287,Person,agent_1,1770270441.286683
agent_1,19,skipped,0.9980385303497314,Person,agent_1,1770270441.286683
agent_1,20,skipped,0.996971607208252,Person,agent_1,1770270441.286683
agent_2,1,heavy,,,,
agent_2,2,skipped,0.9981441497802734,Person,agent_2,1770270443.2867017
agent_2,3,skipped,0.9971988797187804,Person,agent_2,1770270443.2867017
agent_2,4,skipped,0.9971909523010254,Person,agent_2,1770270443.2867017
agent_2,5,skipped,0.9977396726608276,Person,agent_2,1770270443.2867017
agent_2,6,skipped,0.9975885152816772,Person,agent_2,1770270443.2867017
agent_2,7,skipped,0.9979894161224364,Person,agent_2,1770270443.2867017
agent_2,8,skipped,0.9982448816299438,Person,agent_2,1770270443.2867017
agent_2,9,skipped,0.9982837438583374,Person,agent_2,1770270443.2867017
agent_2,10,skipped,0.9932763576507568,Person,agent_2,1770270443.2867017
agent_2,11,skipped,0.994014859199524,Person,agent_2,1770270443.2867017
agent_2,12,skipped,0.9925535917282104,Person,agent_2,1770270443.2867017
agent_2,13,skipped,0.993549346923828,Person,agent_2,1770270443.2867017
agent_2,14,skipped,0.99403178691864,Person,agent_2,1770270443.2867017
agent_2,15,skipped,0.9936877489089966,Person,agent_2,1770270443.2867017
agent_2,16,skipped,0.9931553602218628,Person,agent_2,1770270443.2867017
agent_2,17,skipped,0.993905544281006,Person,agent_2,1770270443.2867017
agent_2,18,skipped,0.997265100479126,Person,agent_2,1770270443.2867017
agent_2,19,skipped,0.9971888065338136,Person,agent_2,1770270443.2867017
agent_2,20,skipped,0.997840404510498,Person,agent_2,1770270443.2867017
agent_3,1,heavy,,,,
agent_3,2,skipped,0.99849134683609,Person,agent_3,1770270444.193628
agent_3,3,skipped,0.9988151788711548,Person,agent_3,1770270444.193628
agent_3,4,skipped,0.997998595237732,Person,agent_3,1770270444.193628
agent_3,5,skipped,0.9983114004135132,Person,agent_3,1770270444.193628
agent_3,6,skipped,0.9986941814422609,Person,agent_3,1770270444.193628
agent_3,7,skipped,0.9983819723129272,Person,agent_3,1770270444.193628
agent_3,8,skipped,0.9986104369163512,Person,agent_3,1770270444.193628
agent_3,9,skipped,0.998932719230652,Person,agent_3,1770270444.193628
agent_3,10,skipped,0.9969300031661988,Person,agent_3,1770270444.193628
agent_3,11,skipped,0.9963931441307068,Person,agent_3,1770270444.193628
agent_3,12,skipped,0.9962910413742064,Person,agent_3,1770270444.193628
agent_3,13,skipped,0.9967641234397888,Person,agent_3,1770270444.193628
agent_3,14,skipped,0.9973372220993042,Person,agent_3,1770270444.193628
agent_3,15,skipped,0.9969956278800964,Person,agent_3,1770270444.193628
agent_3,16,skipped,0.9967419505119324,Person,agent_3,1770270444.193628
agent_3,17,skipped,0.9965972900390624,Person,agent_3,1770270444.193628
agent_3,18,skipped,0.9976340532302856,Person,agent_3,1770270444.193628
agent_3,19,skipped,0.99794602394104,Person,agent_3,1770270444.193628
agent_3,20,skipped,0.9981687068939208,Person,agent_3,1770270444.193628
