agent_id,frame,decision,sim,stored_label,used_packet_agent,used_packet_ts,local_backbone,local_embedding_dim,used_packet_model_name,used_packet_model_version,used_packet_detection_id,used_packet_coordinates,cross_agent_reuse,heavy_label,heavy_confidence,heavy_coordinates,packet_detection_id,heavy_latency_ms,heavy_detector_mode
agent_1,23,skipped,0.9756309986114502,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,24,skipped,0.9738501310348512,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,25,skipped,0.9722275733947754,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,26,skipped,0.9902693629264832,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,27,skipped,0.9894856214523317,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,28,skipped,0.9891923666000366,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,29,skipped,0.9871820211410522,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,30,skipped,0.9868437051773072,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,31,skipped,0.9876506328582764,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
agent_1,32,skipped,0.98623389005661,Person,agent_1,1782804513.1089926,resnet18,256,resnet18,torchvision,agent_1_frame1_1782804513108,"{""x"": 232, ""y"": 190, ""w"": 73, ""h"": 145}",0,,,,,,opencv_hog
