agent_id,frame,decision,sim,stored_label,used_packet_agent,used_packet_ts,local_backbone,local_embedding_dim,used_packet_model_name,used_packet_model_version,cross_agent_reuse,heavy_label,heavy_confidence,heavy_latency_ms,heavy_detector_mode
agent_2,1,heavy,,,,,mobilenet_v3_small,256,,,0,Person,0.8810703704062958,1048.2149999879766,opencv_hog
agent_2,2,skipped,0.9534724950790405,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,3,skipped,0.9532923102378845,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,4,skipped,0.9527429342269897,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,5,skipped,0.9512494802474976,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,6,skipped,0.951409101486206,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,7,skipped,0.949577808380127,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,8,skipped,0.9497169256210327,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,9,skipped,0.9512491226196289,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,10,skipped,0.9897286891937256,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,11,skipped,0.9880644083023071,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,12,skipped,0.9874212741851807,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,13,skipped,0.9882934093475342,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,14,skipped,0.9889354705810547,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,15,skipped,0.9884783029556274,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,16,skipped,0.9884192943572998,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,17,skipped,0.9887073040008545,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,18,skipped,0.9937422275543213,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,19,skipped,0.9936362504959106,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,20,skipped,0.9930883646011353,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,21,skipped,0.9931668043136597,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
agent_2,22,skipped,0.9929581880569458,Person,agent_1,1776424611.4381757,mobilenet_v3_small,256,resnet18,torchvision,1,,,,opencv_hog
